,module,complex_output,sequencer index,lo_freq (Hz),if (Hz),dc_mixer_offset_I,dc_mixer_offset_Q,mixer_amp_ratio,mixer_phase_error_deg
0,module8,out0,0,4900000000.0,-100000000.0,0.0,0.0,0.95,-10.0
1,module9,out0,0,4644250149.0,-100000000.0,0.0,0.0,0.95,-10.0
2,module9,out0,0,4644250149.0,-100000000.0,-10.395199999999999,-10.04559,0.9664999999999999,-16.84362
3,module13,out1,0,3600000000.0,250000000.0,2.64467,-9.2749,0.9426,-35.3041
4,module13,out1,0,3400000000.0,450000000.0,2.0,-8.0,0.94,-30.0
5,module13,out1,0,3600000000.0,250000000.0,2.71202,-9.12576,0.9412999999999999,-35.35221
